Вышестоящая комиссия,№ УИК,vidano,yavka,puten
2 Территориальная избирательная комиссия №2,177,1354,"0,679718875502008","0,717872968980797"
2 Территориальная избирательная комиссия №2,178,1216,"0,675555555555555","0,695222405271828"
2 Территориальная избирательная комиссия №2,179,1271,"0,593093793747083","0,666403785488959"
2 Территориальная избирательная комиссия №2,180,748,"0,718539865513928","0,68048128342246"
2 Территориальная избирательная комиссия №2,181,1081,"0,613159387407827","0,657407407407407"
2 Территориальная избирательная комиссия №2,182,762,"0,677935943060498","0,66010498687664"
2 Территориальная избирательная комиссия №2,183,119,"0,798657718120805","0,714285714285714"
2 Территориальная избирательная комиссия №2,184,365,"0,963060686015831","0,777472527472527"
2 Территориальная избирательная комиссия №2,185,808,"0,922374429223744","0,672029702970297"
2 Территориальная избирательная комиссия №2,186,211,"0,937777777777777","0,62085308056872"
2 Территориальная избирательная комиссия №2,187,86,1,"0,593023255813953"
2 Территориальная избирательная комиссия №2,188,25,1,"0,4"
2 Территориальная избирательная комиссия №2,189,14,"0,875","0,714285714285714"
2 Территориальная избирательная комиссия №2,190,37,1,"0,783783783783783"
2 Территориальная избирательная комиссия №2,191,12,"0,923076923076923","0,333333333333333"
2 Территориальная избирательная комиссия №2,192,21,1,"0,619047619047619"
2 Территориальная избирательная комиссия №2,193,19,1,"0,578947368421052"
3 Территориальная избирательная комиссия №3,576,1077,"0,634649381261048","0,708837209302325"
3 Территориальная избирательная комиссия №3,577,949,"0,605229591836734","0,761854583772392"
3 Территориальная избирательная комиссия №3,578,849,"0,556721311475409","0,745583038869257"
3 Территориальная избирательная комиссия №3,579,1082,"0,588043478260869","0,77449168207024"
3 Территориальная избирательная комиссия №3,580,1132,"0,529962546816479","0,732332155477031"
3 Территориальная избирательная комиссия №3,581,1102,"0,59891304347826","0,722880583409298"
3 Территориальная избирательная комиссия №3,582,1006,"0,664026402640264","0,766699900299102"
3 Территориальная избирательная комиссия №3,583,1172,"0,607568688439606","0,73994867408041"
3 Территориальная избирательная комиссия №3,584,1216,"0,632016632016632","0,754934210526315"
3 Территориальная избирательная комиссия №3,585,1097,"0,611142061281337","0,758432087511394"
3 Территориальная избирательная комиссия №3,586,760,"0,579268292682926","0,725"
3 Территориальная избирательная комиссия №3,587,1212,"0,698156682027649","0,798679867986798"
3 Территориальная избирательная комиссия №3,588,1111,"0,56712608473711","0,685403445149592"
3 Территориальная избирательная комиссия №3,589,1045,"0,563038793103448","0,740847784200385"
3 Территориальная избирательная комиссия №3,590,600,"0,626304801670146","0,754590984974958"
3 Территориальная избирательная комиссия №3,591,1210,"0,645677694770544","0,746280991735537"
3 Территориальная избирательная комиссия №3,592,875,"0,841346153846153","0,731428571428571"
3 Территориальная избирательная комиссия №3,593,1345,"0,603951504265828","0,718959107806691"
3 Территориальная избирательная комиссия №3,594,860,"0,672400312744331","0,713953488372093"
3 Территориальная избирательная комиссия №3,595,889,"0,637733142037302","0,692913385826771"
3 Территориальная избирательная комиссия №3,596,977,"0,643186306780776","0,710040983606557"
3 Территориальная избирательная комиссия №3,597,1202,"0,605846774193548","0,755203996669442"
3 Территориальная избирательная комиссия №3,598,1302,"0,611554720526068","0,72573189522342"
3 Территориальная избирательная комиссия №3,599,822,"0,632794457274826","0,718635809987819"
3 Территориальная избирательная комиссия №3,600,708,"0,63898916967509","0,692090395480226"
3 Территориальная избирательная комиссия №3,601,847,"0,588194444444444","0,730496453900709"
3 Территориальная избирательная комиссия №3,602,863,"0,568136932192231","0,751740139211136"
3 Территориальная избирательная комиссия №3,603,1434,"0,620510601471224","0,73864430468204"
3 Территориальная избирательная комиссия №3,604,1613,"0,71529933481153","0,752641392169049"
3 Территориальная избирательная комиссия №3,605,945,"0,697932053175775","0,742857142857142"
3 Территориальная избирательная комиссия №3,606,906,"0,638028169014084","0,709070796460177"
3 Территориальная избирательная комиссия №3,607,915,"0,622448979591836","0,74070021881838"
3 Территориальная избирательная комиссия №3,608,909,"0,575680810639645","0,745033112582781"
3 Территориальная избирательная комиссия №3,609,824,"0,639255236617532","0,75"
3 Территориальная избирательная комиссия №3,610,973,"0,611565053425518","0,73559670781893"
3 Территориальная избирательная комиссия №3,611,1088,"0,588108108108108","0,740808823529411"
3 Территориальная избирательная комиссия №3,612,970,"0,559400230680507","0,75438596491228"
3 Территориальная избирательная комиссия №3,613,978,"0,651565622918054","0,74718526100307"
3 Территориальная избирательная комиссия №3,614,961,"0,611323155216285","0,734098018769551"
3 Территориальная избирательная комиссия №3,615,859,"0,642002989536621","0,769499417927823"
3 Территориальная избирательная комиссия №3,616,1574,"0,690653795524352","0,752858958068615"
3 Территориальная избирательная комиссия №3,617,1429,"0,567288606589916","0,762771168649405"
3 Территориальная избирательная комиссия №3,618,1211,"0,576117982873453","0,770885028949545"
3 Территориальная избирательная комиссия №3,619,1492,"0,623745819397993","0,743624161073825"
3 Территориальная избирательная комиссия №3,620,1391,"0,575031004547333","0,708123652048885"
3 Территориальная избирательная комиссия №3,621,999,"0,580476467170249","0,741044012282497"
3 Территориальная избирательная комиссия №3,622,1173,"0,603705609881626","0,779010238907849"
3 Территориальная избирательная комиссия №3,623,1130,"0,516689529035208","0,75575221238938"
3 Территориальная избирательная комиссия №3,624,1048,"0,591088550479413","0,750478011472275"
3 Территориальная избирательная комиссия №3,625,1112,"0,656047197640118","0,755415162454873"
3 Территориальная избирательная комиссия №3,626,935,"0,678519593613933","0,817792068595927"
3 Территориальная избирательная комиссия №3,627,969,"0,68","0,755417956656346"
3 Территориальная избирательная комиссия №3,628,1204,"0,638388123011664","0,772425249169435"
3 Территориальная избирательная комиссия №3,629,1212,"0,582412301777991","0,766308835672997"
3 Территориальная избирательная комиссия №3,630,1065,"0,609616485403549","0,714689265536723"
3 Территориальная избирательная комиссия №3,631,1240,"0,62","0,737903225806451"
3 Территориальная избирательная комиссия №3,632,1406,"0,603951890034364","0,75623663578047"
3 Территориальная избирательная комиссия №3,645,241,1,"0,850622406639004"
3 Территориальная избирательная комиссия №3,646,10,1,"0,9"
3 Территориальная избирательная комиссия №3,647,10,1,"0,8"
3 Территориальная избирательная комиссия №3,648,10,1,1
3 Территориальная избирательная комиссия №3,649,12,1,1
3 Территориальная избирательная комиссия №3,650,12,1,"0,916666666666666"
3 Территориальная избирательная комиссия №3,651,11,1,1
3 Территориальная избирательная комиссия №3,652,11,1,1
3 Территориальная избирательная комиссия №3,653,10,1,1
3 Территориальная избирательная комиссия №3,654,10,1,"0,8"
3 Территориальная избирательная комиссия №3,655,11,1,1
3 Территориальная избирательная комиссия №3,656,11,1,1
3 Территориальная избирательная комиссия №3,657,11,1,"0,727272727272727"
3 Территориальная избирательная комиссия №3,658,11,1,1
3 Территориальная избирательная комиссия №3,659,11,1,1
3 Территориальная избирательная комиссия №3,660,11,1,"0,727272727272727"
3 Территориальная избирательная комиссия №3,661,10,1,1
3 Территориальная избирательная комиссия №3,662,9,1,1
3 Территориальная избирательная комиссия №3,663,11,1,"0,909090909090909"
3 Территориальная избирательная комиссия №3,664,10,1,"0,7"
3 Территориальная избирательная комиссия №3,666,11,1,"0,909090909090909"
3 Территориальная избирательная комиссия №3,667,11,1,"0,727272727272727"
3 Территориальная избирательная комиссия №3,668,10,1,1
3 Территориальная избирательная комиссия №3,669,10,1,"0,9"
3 Территориальная избирательная комиссия №3,670,10,1,1
3 Территориальная избирательная комиссия №3,671,10,1,1
3 Территориальная избирательная комиссия №3,672,10,1,1
3 Территориальная избирательная комиссия №3,673,10,1,1
3 Территориальная избирательная комиссия №3,674,9,1,"0,777777777777777"
3 Территориальная избирательная комиссия №3,675,10,1,"0,8"
3 Территориальная избирательная комиссия №3,676,10,1,1
3 Территориальная избирательная комиссия №3,677,10,1,"0,8"
3 Территориальная избирательная комиссия №3,679,10,1,"0,8"
3 Территориальная избирательная комиссия №3,680,10,1,1
3 Территориальная избирательная комиссия №3,681,10,1,1
3 Территориальная избирательная комиссия №3,682,10,1,1
3 Территориальная избирательная комиссия №3,683,10,1,1
3 Территориальная избирательная комиссия №3,684,9,1,"0,333333333333333"
3 Территориальная избирательная комиссия №3,685,11,1,1
3 Территориальная избирательная комиссия №3,686,11,1,1
3 Территориальная избирательная комиссия №3,687,11,1,"0,454545454545454"
3 Территориальная избирательная комиссия №3,688,11,1,"0,818181818181818"
3 Территориальная избирательная комиссия №3,689,12,1,1
3 Территориальная избирательная комиссия №3,690,11,1,"0,727272727272727"
3 Территориальная избирательная комиссия №3,691,10,1,"0,8"
3 Территориальная избирательная комиссия №3,693,11,1,"0,363636363636363"
3 Территориальная избирательная комиссия №3,694,11,1,"0,909090909090909"
3 Территориальная избирательная комиссия №3,695,11,1,"0,909090909090909"
3 Территориальная избирательная комиссия №3,696,10,1,"0,8"
3 Территориальная избирательная комиссия №3,697,10,1,"0,9"
3 Территориальная избирательная комиссия №3,698,10,1,"0,7"
3 Территориальная избирательная комиссия №3,699,33,1,"0,727272727272727"
3 Территориальная избирательная комиссия №3,700,25,1,"0,36"
3 Территориальная избирательная комиссия №3,701,25,1,"0,72"
3 Территориальная избирательная комиссия №3,702,21,1,"0,666666666666666"
3 Территориальная избирательная комиссия №3,703,18,1,"0,611111111111111"
3 Территориальная избирательная комиссия №3,704,21,1,"0,619047619047619"
3 Территориальная избирательная комиссия №3,705,19,1,"0,789473684210526"
3 Территориальная избирательная комиссия №3,706,19,1,"0,736842105263157"
3 Территориальная избирательная комиссия №3,707,19,1,"0,684210526315789"
3 Территориальная избирательная комиссия №3,708,21,1,"0,761904761904761"
3 Территориальная избирательная комиссия №3,709,28,1,"0,535714285714285"
3 Территориальная избирательная комиссия №3,710,19,1,"0,473684210526315"
3 Территориальная избирательная комиссия №3,711,22,1,"0,636363636363636"
3 Территориальная избирательная комиссия №3,712,30,1,"0,6"
3 Территориальная избирательная комиссия №3,713,36,1,"0,75"
3 Территориальная избирательная комиссия №3,714,26,1,"0,576923076923076"
3 Территориальная избирательная комиссия №3,715,26,1,"0,884615384615384"
3 Территориальная избирательная комиссия №3,716,24,"0,96","0,833333333333333"
3 Территориальная избирательная комиссия №3,717,25,1,"0,8"
3 Территориальная избирательная комиссия №3,718,25,1,"0,76"
3 Территориальная избирательная комиссия №3,719,45,1,"0,666666666666666"
3 Территориальная избирательная комиссия №3,720,29,1,"0,724137931034482"
3 Территориальная избирательная комиссия №3,721,24,"0,827586206896551","0,833333333333333"
3 Территориальная избирательная комиссия №3,722,28,1,"0,892857142857142"
3 Территориальная избирательная комиссия №3,723,52,1,"0,807692307692307"
3 Территориальная избирательная комиссия №3,724,41,"0,836734693877551","0,926829268292683"
3 Территориальная избирательная комиссия №3,725,25,1,"0,72"
3 Территориальная избирательная комиссия №3,726,24,"0,96","0,75"
3 Территориальная избирательная комиссия №3,727,25,1,"0,64"
3 Территориальная избирательная комиссия №3,728,9,1,"0,666666666666666"
3 Территориальная избирательная комиссия №3,729,11,1,"0,636363636363636"
3 Территориальная избирательная комиссия №3,730,9,1,"0,666666666666666"
3 Территориальная избирательная комиссия №3,731,10,1,"0,7"
3 Территориальная избирательная комиссия №3,732,9,1,"0,888888888888888"
3 Территориальная избирательная комиссия №3,733,11,1,"0,636363636363636"
3 Территориальная избирательная комиссия №3,734,9,1,"0,888888888888888"
3 Территориальная избирательная комиссия №3,735,9,1,"0,777777777777777"
3 Территориальная избирательная комиссия №3,736,11,1,"0,454545454545454"
3 Территориальная избирательная комиссия №3,737,47,"0,770491803278688","0,574468085106383"
3 Территориальная избирательная комиссия №3,738,56,1,"0,517857142857142"
3 Территориальная избирательная комиссия №3,739,24,1,"0,791666666666666"
3 Территориальная избирательная комиссия №3,740,27,1,"0,518518518518518"
3 Территориальная избирательная комиссия №3,741,24,1,"0,625"
3 Территориальная избирательная комиссия №3,742,27,1,"0,518518518518518"
3 Территориальная избирательная комиссия №3,743,26,1,"0,461538461538461"
3 Территориальная избирательная комиссия №3,744,13,1,"0,538461538461538"
3 Территориальная избирательная комиссия №3,745,5,1,1
3 Территориальная избирательная комиссия №3,746,5,1,"0,6"
3 Территориальная избирательная комиссия №3,747,6,1,"0,5"
3 Территориальная избирательная комиссия №3,750,5,1,1
3 Территориальная избирательная комиссия №3,751,9,1,"0,888888888888888"
3 Территориальная избирательная комиссия №3,752,4,1,"0,75"
3 Территориальная избирательная комиссия №3,753,38,1,"0,447368421052631"
3 Территориальная избирательная комиссия №3,755,27,1,"0,592592592592592"
3 Территориальная избирательная комиссия №3,756,25,1,"0,64"
3 Территориальная избирательная комиссия №3,2296,48,1,"0,833333333333333"
3 Территориальная избирательная комиссия №3,2297,53,"0,981481481481481","0,830188679245283"
3 Территориальная избирательная комиссия №3,2298,14,1,"0,428571428571428"
3 Территориальная избирательная комиссия №3,2299,28,1,"0,571428571428571"
3 Территориальная избирательная комиссия №3,2300,12,1,"0,916666666666666"
3 Территориальная избирательная комиссия №3,2301,12,1,"0,833333333333333"
4 Территориальная избирательная комиссия №4,901,624,"0,567272727272727","0,788461538461538"
4 Территориальная избирательная комиссия №4,902,1001,"0,611484422724496","0,831168831168831"
4 Территориальная избирательная комиссия №4,903,1478,"0,686483975847654","0,772665764546684"
4 Территориальная избирательная комиссия №4,904,1215,"0,602379771938522","0,767768595041322"
4 Территориальная избирательная комиссия №4,905,1798,"0,761864406779661","0,744419642857142"
4 Территориальная избирательная комиссия №4,906,1218,"0,708139534883721","0,726600985221674"
4 Территориальная избирательная комиссия №4,907,1273,"0,692224034801522","0,741555380989787"
4 Территориальная избирательная комиссия №4,908,996,"0,696503496503496","0,788152610441767"
4 Территориальная избирательная комиссия №4,909,1221,"0,749079754601227","0,768222768222768"
4 Территориальная избирательная комиссия №4,910,930,"0,56159420289855","0,766163793103448"
4 Территориальная избирательная комиссия №4,911,1092,"0,697318007662835","0,774311926605504"
4 Территориальная избирательная комиссия №4,912,1044,"0,687747035573122","0,735830931796349"
4 Территориальная избирательная комиссия №4,913,1265,"0,711873944850872","0,753164556962025"
4 Территориальная избирательная комиссия №4,914,1103,"0,700762388818297","0,758839528558476"
4 Территориальная избирательная комиссия №4,915,1190,"0,658185840707964","0,767226890756302"
4 Территориальная избирательная комиссия №4,916,922,"0,650670430486944","0,761388286334056"
4 Территориальная избирательная комиссия №4,917,1088,"0,728734092431346","0,722426470588235"
4 Территориальная избирательная комиссия №4,918,1020,"0,643533123028391","0,761764705882352"
4 Территориальная избирательная комиссия №4,919,1196,"0,734643734643734","0,736797988264878"
4 Территориальная избирательная комиссия №4,920,1091,"0,642520612485276","0,781450872359963"
4 Территориальная избирательная комиссия №4,921,1348,"0,702449192287649","0,713751868460388"
4 Территориальная избирательная комиссия №4,922,1213,"0,55718879191548","0,733664185277088"
4 Территориальная избирательная комиссия №4,923,1284,"0,64750378214826","0,757009345794392"
4 Территориальная избирательная комиссия №4,924,1056,"0,610051993067591","0,699905033238366"
4 Территориальная избирательная комиссия №4,925,1385,"0,760153677277716","0,708303249097472"
4 Территориальная избирательная комиссия №4,926,1222,"0,712536443148688","0,697540983606557"
4 Территориальная избирательная комиссия №4,927,1063,"0,600904465799887","0,714957666980244"
4 Территориальная избирательная комиссия №4,928,1045,"0,619810201660735","0,729106628242075"
4 Территориальная избирательная комиссия №4,929,1176,"0,597560975609756","0,719148936170212"
4 Территориальная избирательная комиссия №4,930,1062,"0,667085427135678","0,730696798493408"
4 Территориальная избирательная комиссия №4,931,1457,"0,83019943019943","0,739190116678105"
4 Территориальная избирательная комиссия №4,932,1293,"0,77010125074449","0,759474091260634"
4 Территориальная избирательная комиссия №4,933,1231,"0,668658337859858","0,790546047269763"
4 Территориальная избирательная комиссия №4,934,1116,"0,67513611615245","0,745732255166217"
4 Территориальная избирательная комиссия №4,935,1144,"0,690821256038647","0,786339754816112"
4 Территориальная избирательная комиссия №4,936,1215,"0,693097547062179","0,763396537510305"
4 Территориальная избирательная комиссия №4,937,1387,"0,701923076923076","0,736121124729632"
4 Территориальная избирательная комиссия №4,938,1018,"0,620353443022547","0,7475442043222"
4 Территориальная избирательная комиссия №4,939,1412,"0,587843463780183","0,766666666666666"
4 Территориальная избирательная комиссия №4,940,1427,"0,710657370517928","0,807719298245614"
4 Территориальная избирательная комиссия №4,941,1355,"0,637647058823529","0,706360946745562"
4 Территориальная избирательная комиссия №4,942,872,"0,708367181153533","0,752293577981651"
4 Территориальная избирательная комиссия №4,943,1323,"0,698890649762282","0,718820861678004"
4 Территориальная избирательная комиссия №4,944,1424,"0,53654860587792","0,693892045454545"
4 Территориальная избирательная комиссия №4,945,1484,"0,697368421052631","0,688302907369844"
4 Территориальная избирательная комиссия №4,946,961,"0,686919228020014","0,691578947368421"
4 Территориальная избирательная комиссия №4,947,961,"0,682528409090909","0,67778936392075"
