tik,uik,turnout,stationary,putin,koib,cam,marked,gaps
15 Лодейнопольская,596,64%,1233,76%,,c1,yes,"21, 44"
15 Лодейнопольская,596,64%,1233,76%,,c2,yes,"20, 39"
15 Лодейнопольская,598,64%,949,78%,,c1,yes,"7, 36"
15 Лодейнопольская,598,64%,949,78%,,c2,,"20, 39"
20 Подпорожская,728,64%,1157,79%,,c1,yes,"22, 35"
20 Подпорожская,728,64%,1157,79%,,c2,yes,"23, 36"
21 Приозерская,759,64%,630,76%,,c1,yes,"20, 48"
21 Приозерская,759,64%,630,76%,,c2,yes,"21, 35"
21 Приозерская,762,64%,1118,76%,,c1,,"22, 37"
21 Приозерская,762,64%,1118,76%,,c2,yes,"21, 36"
27 Тосненская,874,64%,986,80%,КОИБ,c1,yes,"19, 47"
27 Тосненская,874,64%,986,80%,КОИБ,c2,yes,"20, 43"
3 Волховская,73,64%,1379,76%,,c1,yes,"22, 40"
3 Волховская,73,64%,1379,76%,,c2,yes,"21, 35"
3 Волховская,76,64%,1226,80%,,c1,yes,"22, 42"
3 Волховская,76,64%,1226,80%,,c2,yes,"21, 46"
3 Волховская,80,64%,1683,79%,,c1,,"19, 44"
3 Волховская,80,64%,1683,79%,,c2,yes,41
5 Всеволожская,194,64%,656,79%,,c1,yes,"20, 47"
5 Всеволожская,194,64%,656,79%,,c2,yes,"19, 39"
6 Выборгская,265,64%,1122,76%,,c1,yes,"22, 42"
6 Выборгская,265,64%,1122,76%,,c2,yes,"20, 35"
6 Выборгская,317,64%,1379,80%,,c1,,"21, 47"
6 Выборгская,317,64%,1379,80%,,c2,yes,"20, 45"
7 Гатчинская,382,63%,1181,78%,,c1,yes,"21, 35"
7 Гатчинская,382,63%,1181,78%,,c2,,"19, 37"
11 Кингисеппская,471,63%,1006,77%,,c1,yes,"2, 42"
11 Кингисеппская,471,63%,1006,77%,,c2,yes,"2, 43"
11 Кингисеппская,480,63%,1031,80%,,c1,yes,"21, 47"
11 Кингисеппская,480,63%,1031,80%,,c2,yes,
13 Кировская,550,63%,1235,79%,КОИБ,c1,,"22, 46"
13 Кировская,550,63%,1235,79%,КОИБ,c2,,"21, 36"
13 Кировская,554,63%,766,80%,КОИБ,c1,yes,"21, 36"
13 Кировская,554,63%,766,80%,КОИБ,c2,,"20, 35"
13 Кировская,567,63%,1805,78%,,c1,,"6, 35"
13 Кировская,567,63%,1805,78%,,c2,yes,"13, 36"
13 Кировская,569,63%,1679,78%,,c1,yes,40
13 Кировская,569,63%,1679,78%,,c2,,36
15 Лодейнопольская,599,63%,913,80%,,c1,,
15 Лодейнопольская,599,63%,913,80%,,c2,,
17 Лужская,683,63%,1010,77%,,c1,,43
17 Лужская,683,63%,1010,77%,,c2,,"22, 35"
20 Подпорожская,725,63%,1008,76%,,c1,yes,"22, 41"
20 Подпорожская,725,63%,1008,76%,,c2,yes,"22, 47"
21 Приозерская,757,63%,1527,77%,,c1,yes,"21, 40"
21 Приозерская,757,63%,1527,77%,,c2,,"21, 54"
25 Сосновоборская городская,934,63%,1346,75%,КОИБ,c1,yes,"21, 36"
25 Сосновоборская городская,934,63%,1346,75%,КОИБ,c2,yes,"22, 35"
26 Тихвинская,825,63%,1414,80%,,c1,yes,"19, 42"
26 Тихвинская,825,63%,1414,80%,,c2,yes,"20, 46"
27 Тосненская,868,63%,1134,76%,КОИБ,c1,yes,
27 Тосненская,868,63%,1134,76%,КОИБ,c2,yes,"7, 35"
3 Волховская,69,63%,1765,79%,,c1,yes,"21, 47"
3 Волховская,69,63%,1765,79%,,c2,,"21, 47"
3 Волховская,77,63%,1028,80%,,c1,yes,26
3 Волховская,77,63%,1028,80%,,c2,,"20, 42"
6 Выборгская,263,63%,962,74%,,c1,yes,"20, 35"
6 Выборгская,263,63%,962,74%,,c2,yes,"19, 41"
7 Гатчинская,375,62%,1252,76%,,c1,,"20, 44"
7 Гатчинская,375,62%,1252,76%,,c2,yes,41
7 Гатчинская,385,62%,1096,78%,,c1,yes,"21, 36"
7 Гатчинская,385,62%,1096,78%,,c2,,"19, 41"
7 Гатчинская,399,62%,1512,80%,,c1,yes,36
7 Гатчинская,399,62%,1512,80%,,c2,yes,"11, 37"
7 Гатчинская,418,62%,783,82%,,c1,,"23, 44"
7 Гатчинская,418,62%,783,82%,,c2,yes,
7 Гатчинская,429,62%,772,80%,,c1,yes,"19, 36"
7 Гатчинская,429,62%,772,80%,,c2,,
11 Кингисеппская,514,62%,936,73%,,c1,yes,"4, 42"
11 Кингисеппская,514,62%,936,73%,,c2,yes,41
15 Лодейнопольская,595,62%,776,75%,,c1,yes,36
15 Лодейнопольская,595,62%,776,75%,,c2,yes,"21, 37"
20 Подпорожская,729,62%,853,75%,,c1,,"22, 35"
20 Подпорожская,729,62%,853,75%,,c2,yes,"21, 37"
24 Сланцевская,798,62%,864,77%,,c1,,"20, 36"
24 Сланцевская,798,62%,864,77%,,c2,yes,"20, 36"
24 Сланцевская,799,62%,820,76%,,c1,yes,"20, 43"
24 Сланцевская,799,62%,820,76%,,c2,yes,"21, 36"
27 Тосненская,871,62%,1402,79%,КОИБ,c1,yes,
27 Тосненская,871,62%,1402,79%,КОИБ,c2,yes,"6, 36"
27 Тосненская,876,62%,1213,79%,КОИБ,c1,yes,
27 Тосненская,876,62%,1213,79%,КОИБ,c2,yes,"19, 37"
27 Тосненская,910,62%,1006,80%,КОИБ,c1,yes,"21, 36"
27 Тосненская,910,62%,1006,80%,КОИБ,c2,yes,36
27 Тосненская,917,62%,544,77%,,c1,yes,"20, 42"
27 Тосненская,917,62%,544,77%,,c2,yes,"21, 46"
3 Волховская,74,62%,808,74%,,c1,yes,21
3 Волховская,74,62%,808,74%,,c2,,"22, 48"
2 Волосовская,35,62%,1260,81%,,c1,yes,"28, 47"
2 Волосовская,35,62%,1260,81%,,c2,,"21, 45"
5 Всеволожская,117,62%,1211,82%,,c1,yes,
5 Всеволожская,117,62%,1211,82%,,c2,yes,
5 Всеволожская,178,62%,1021,78%,КОИБ,c1,,"19, 44"
5 Всеволожская,178,62%,1021,78%,КОИБ,c2,yes,"19, 36"
5 Всеволожская,217,62%,847,79%,КОИБ,c1,yes,
5 Всеволожская,217,62%,847,79%,КОИБ,c2,yes,"20, 43"
5 Всеволожская,218,62%,1316,76%,КОИБ,c1,yes,42
5 Всеволожская,218,62%,1316,76%,КОИБ,c2,yes,"21, 40"
5 Всеволожская,219,62%,1532,75%,КОИБ,c1,yes,41
5 Всеволожская,219,62%,1532,75%,КОИБ,c2,yes,"11, 38"
6 Выборгская,251,62%,1016,73%,,c1,yes,"20, 47"
6 Выборгская,251,62%,1016,73%,,c2,yes,"21, 42"
6 Выборгская,253,62%,945,75%,,c1,yes,"22, 40"
6 Выборгская,253,62%,945,75%,,c2,yes,"21, 36"
6 Выборгская,255,62%,661,74%,,c1,yes,"20, 39"
6 Выборгская,255,62%,661,74%,,c2,,"21, 44"
6 Выборгская,262,62%,937,70%,,c1,,"29, 41"
6 Выборгская,262,62%,937,70%,,c2,,"23, 39"
7 Гатчинская,370,61%,1356,75%,,c1,yes,"19, 36"
7 Гатчинская,370,61%,1356,75%,,c2,,"6, 36"
7 Гатчинская,378,61%,1079,78%,,c1,yes,
7 Гатчинская,378,61%,1079,78%,,c2,,"10, 36"
7 Гатчинская,380,61%,973,76%,,c1,,"12, 37"
7 Гатчинская,380,61%,973,76%,,c2,yes,"5, 36"
7 Гатчинская,401,61%,489,81%,,c1,yes,"19, 36"
7 Гатчинская,401,61%,489,81%,,c2,,"19, 44"
12 Киришская,532,61%,1251,76%,КОИБ,c1,yes,36
12 Киришская,532,61%,1251,76%,КОИБ,c2,yes,"4, 35"
13 Кировская,548,61%,1163,77%,КОИБ,c1,,"22, 37"
13 Кировская,548,61%,1163,77%,КОИБ,c2,,"25, 37"
17 Лужская,677,61%,799,79%,,c1,yes,"20, 41"
17 Лужская,677,61%,799,79%,,c2,yes,"21, 47"
17 Лужская,682,61%,922,78%,,c1,,"21, 36"
17 Лужская,682,61%,922,78%,,c2,yes,
21 Приозерская,760,61%,1523,76%,,c1,,"2, 38"
21 Приозерская,760,61%,1523,76%,,c2,yes,"20, 36"
21 Приозерская,761,61%,1526,78%,,c1,yes,"20, 41"
21 Приозерская,761,61%,1526,78%,,c2,yes,"5, 37"
21 Приозерская,781,61%,875,78%,,c1,,"21, 43"
21 Приозерская,781,61%,875,78%,,c2,yes,"19, 38"
24 Сланцевская,794,61%,784,79%,,c1,,"21, 40"
24 Сланцевская,794,61%,784,79%,,c2,yes,"19, 43"
27 Тосненская,884,61%,784,83%,КОИБ,c1,yes,"19, 37"
27 Тосненская,884,61%,784,83%,КОИБ,c2,yes,"19, 36"
3 Волховская,84,61%,801,81%,,c1,yes,"7, 37"
3 Волховская,84,61%,801,81%,,c2,yes,"19, 38"
5 Всеволожская,147,61%,1023,76%,,c1,yes,"19, 42"
5 Всеволожская,147,61%,1023,76%,,c2,yes,"20, 35"
5 Всеволожская,214,61%,1254,78%,КОИБ,c1,,36
5 Всеволожская,214,61%,1254,78%,КОИБ,c2,yes,"21, 36"
6 Выборгская,252,61%,870,74%,,c1,yes,"18, 47"
6 Выборгская,252,61%,870,74%,,c2,yes,
6 Выборгская,260,61%,954,73%,,c1,,"23, 47"
6 Выборгская,260,61%,954,73%,,c2,,"21, 46"
6 Выборгская,323,61%,748,80%,,c1,,"20, 38"
6 Выборгская,323,61%,748,80%,,c2,yes,"19, 45"
6 Выборгская,344,61%,564,85%,,c1,,"20, 36"
6 Выборгская,344,61%,564,85%,,c2,yes,"21, 45"
7 Гатчинская,374,60%,868,74%,,c1,yes,"21, 42"
7 Гатчинская,374,60%,868,74%,,c2,,"21, 42"
7 Гатчинская,379,60%,1285,77%,,c1,,"19, 40"
7 Гатчинская,379,60%,1285,77%,,c2,yes,35
7 Гатчинская,423,60%,1311,79%,,c1,yes,"4, 35"
7 Гатчинская,423,60%,1311,79%,,c2,,"21, 35"
13 Кировская,547,60%,1174,79%,КОИБ,c1,yes,"21, 36"
13 Кировская,547,60%,1174,79%,КОИБ,c2,yes,"22, 35"
16 Ломоносовская,624,60%,839,79%,КОИБ,c1,yes,"23, 39"
16 Ломоносовская,624,60%,839,79%,КОИБ,c2,yes,"18, 43"
17 Лужская,679,60%,887,78%,,c1,yes,"22, 36"
17 Лужская,679,60%,887,78%,,c2,yes,"24, 36"
20 Подпорожская,721,60%,565,79%,,c1,,"21, 36"
20 Подпорожская,721,60%,565,79%,,c2,yes,"22, 35"
24 Сланцевская,797,60%,728,77%,,c1,,"3, 35"
24 Сланцевская,797,60%,728,77%,,c2,yes,"2, 35"
24 Сланцевская,802,60%,838,80%,,c1,,
24 Сланцевская,802,60%,838,80%,,c2,yes,"3, 37"
3 Волховская,108,60%,624,73%,,c1,yes,"21, 43"
3 Волховская,108,60%,624,73%,,c2,yes,"16, 40"
3 Волховская,67,60%,1404,78%,,c1,yes,"21, 39"
3 Волховская,67,60%,1404,78%,,c2,,"20, 42"
3 Волховская,83,60%,745,78%,,c1,yes,"21, 36"
3 Волховская,83,60%,745,78%,,c2,,"20, 36"
2 Волосовская,37,60%,1219,80%,,c1,,"3, 39"
2 Волосовская,37,60%,1219,80%,,c2,yes,"3, 45"
5 Всеволожская,131,60%,964,79%,,c1,yes,"19, 36"
5 Всеволожская,131,60%,964,79%,,c2,yes,"21, 46"
5 Всеволожская,146,60%,1127,76%,,c1,yes,"4, 45"
5 Всеволожская,146,60%,1127,76%,,c2,yes,"4, 41"
5 Всеволожская,149,60%,959,75%,,c1,yes,"5, 43"
5 Всеволожская,149,60%,959,75%,,c2,yes,"21, 36"
5 Всеволожская,212,60%,1431,76%,КОИБ,c1,yes,"20, 37"
5 Всеволожская,212,60%,1431,76%,КОИБ,c2,yes,"21, 43"
5 Всеволожская,233,60%,897,80%,,c1,yes,"21, 43"
5 Всеволожская,233,60%,897,80%,,c2,yes,"22, 45"
5 Всеволожская,957,60%,987,78%,,c1,yes,"4, 44"
5 Всеволожская,957,60%,987,78%,,c2,yes,"21, 35"
6 Выборгская,242,60%,1273,71%,,c1,yes,"7, 40"
6 Выборгская,242,60%,1273,71%,,c2,yes,"21, 35"
6 Выборгская,249,60%,917,74%,,c1,yes,"21, 39"
6 Выборгская,249,60%,917,74%,,c2,yes,"26, 43"
6 Выборгская,250,60%,820,74%,,c1,yes,"21, 41"
6 Выборгская,250,60%,820,74%,,c2,,"23, 48"
6 Выборгская,256,60%,1115,73%,,c1,yes,"20, 41"
6 Выборгская,256,60%,1115,73%,,c2,yes,"21, 43"
6 Выборгская,261,60%,795,77%,,c1,yes,"21, 37"
6 Выборгская,261,60%,795,77%,,c2,,"20, 36"
6 Выборгская,269,60%,813,75%,,c1,yes,"21, 42"
6 Выборгская,269,60%,813,75%,,c2,yes,"22, 37"
6 Выборгская,274,60%,831,75%,,c1,yes,"20, 40"
6 Выборгская,274,60%,831,75%,,c2,yes,"19, 44"
6 Выборгская,318,60%,1093,77%,,c1,yes,"20, 36"
6 Выборгская,318,60%,1093,77%,,c2,,"19, 37"
6 Выборгская,339,60%,1031,78%,,c1,yes,"20, 45"
6 Выборгская,339,60%,1031,78%,,c2,yes,"21, 45"
6 Выборгская,347,60%,764,73%,,c1,,40
6 Выборгская,347,60%,764,73%,,c2,yes,"16, 43"
7 Гатчинская,384,59%,1036,79%,,c1,,
7 Гатчинская,384,59%,1036,79%,,c2,,"21, 39"
7 Гатчинская,389,59%,1008,76%,,c1,,"5, 44"
7 Гатчинская,389,59%,1008,76%,,c2,yes,"6, 36"
16 Ломоносовская,642,59%,1141,81%,,c1,yes,"2, 45"
16 Ломоносовская,642,59%,1141,81%,,c2,yes,40
17 Лужская,680,59%,889,79%,,c1,yes,"20, 43"
17 Лужская,680,59%,889,79%,,c2,,"22, 36"
20 Подпорожская,724,59%,598,80%,,c1,yes,"15, 44"
20 Подпорожская,724,59%,598,80%,,c2,yes,
21 Приозерская,755,59%,717,74%,,c1,yes,"21, 42"
21 Приозерская,755,59%,717,74%,,c2,yes,"22, 36"
21 Приозерская,756,59%,776,81%,,c1,,
21 Приозерская,756,59%,776,81%,,c2,,
24 Сланцевская,803,59%,784,78%,,c1,yes,"21, 45"
24 Сланцевская,803,59%,784,78%,,c2,yes,39
5 Всеволожская,181,59%,1747,81%,КОИБ,c1,yes,"9, 36"
5 Всеволожская,181,59%,1747,81%,КОИБ,c2,,"11, 38"
5 Всеволожская,216,59%,630,78%,,c1,,"10, 35"
5 Всеволожская,216,59%,630,78%,,c2,yes,"3, 36"
6 Выборгская,243,59%,721,73%,,c1,yes,"13, 43"
6 Выборгская,243,59%,721,73%,,c2,,"18, 35"
6 Выборгская,248,59%,970,70%,,c1,yes,"21, 41"
6 Выборгская,248,59%,970,70%,,c2,,"20, 42"
6 Выборгская,270,59%,1131,74%,,c1,yes,"12, 35"
6 Выборгская,270,59%,1131,74%,,c2,yes,36
6 Выборгская,283,59%,1168,80%,,c1,,"10, 39"
6 Выборгская,283,59%,1168,80%,,c2,,38
6 Выборгская,285,59%,1230,82%,,c1,yes,"5, 40"
6 Выборгская,285,59%,1230,82%,,c2,,"4, 44"
6 Выборгская,286,59%,1260,81%,,c1,yes,"21, 54"
6 Выборгская,286,59%,1260,81%,,c2,,"21, 40"
6 Выборгская,287,59%,967,79%,,c1,,"20, 43"
6 Выборгская,287,59%,967,79%,,c2,yes,"22, 41"
6 Выборгская,338,59%,633,79%,,c1,,"21, 41"
6 Выборгская,338,59%,633,79%,,c2,yes,"21, 43"
6 Выборгская,340,59%,963,81%,,c1,,"26, 46"
6 Выборгская,340,59%,963,81%,,c2,yes,"20, 46"
6 Выборгская,346,59%,745,80%,,c1,yes,"19, 40"
6 Выборгская,346,59%,745,80%,,c2,,"21, 44"
7 Гатчинская,393,58%,1072,81%,,c1,,"20, 44"
7 Гатчинская,393,58%,1072,81%,,c2,yes,"22, 35"
13 Кировская,546,58%,1245,78%,КОИБ,c1,yes,39
13 Кировская,546,58%,1245,78%,КОИБ,c2,yes,36
13 Кировская,555,58%,586,81%,КОИБ,c1,yes,44
13 Кировская,555,58%,586,81%,КОИБ,c2,yes,
15 Лодейнопольская,605,58%,707,81%,,c1,yes,"20, 48"
15 Лодейнопольская,605,58%,707,81%,,c2,yes,"17, 43"
17 Лужская,672,58%,532,78%,,c1,,37
17 Лужская,672,58%,532,78%,,c2,yes,36
17 Лужская,674,58%,632,78%,,c1,,"22, 46"
17 Лужская,674,58%,632,78%,,c2,yes,"22, 42"
21 Приозерская,758,58%,839,75%,,c1,yes,
21 Приозерская,758,58%,839,75%,,c2,yes,
24 Сланцевская,792,58%,735,79%,,c1,yes,"2, 35"
24 Сланцевская,792,58%,735,79%,,c2,yes,"21, 35"
24 Сланцевская,793,58%,734,78%,,c1,,"18, 36"
24 Сланцевская,793,58%,734,78%,,c2,yes,"5, 46"
24 Сланцевская,806,58%,780,78%,,c1,,"20, 35"
24 Сланцевская,806,58%,780,78%,,c2,yes,"19, 38"
26 Тихвинская,846,58%,1218,78%,,c1,yes,"22, 44"
26 Тихвинская,846,58%,1218,78%,,c2,,"21, 45"
27 Тосненская,875,58%,742,75%,КОИБ,c1,yes,"19, 35"
27 Тосненская,875,58%,742,75%,КОИБ,c2,yes,"19, 38"
27 Тосненская,908,58%,1016,80%,КОИБ,c1,yes,"19, 40"
27 Тосненская,908,58%,1016,80%,КОИБ,c2,yes,"21, 36"
27 Тосненская,923,58%,1357,81%,,c1,yes,"25, 38"
27 Тосненская,923,58%,1357,81%,,c2,yes,41
3 Волховская,109,58%,522,73%,,c1,yes,"19, 47"
3 Волховская,109,58%,522,73%,,c2,yes,
3 Волховская,68,58%,1176,77%,,c1,yes,"5, 35"
3 Волховская,68,58%,1176,77%,,c2,,"23, 35"
5 Всеволожская,151,58%,796,78%,,c1,yes,"21, 41"
5 Всеволожская,151,58%,796,78%,,c2,yes,"7, 37"
5 Всеволожская,207,58%,892,78%,КОИБ,c1,,"19, 40"
5 Всеволожская,207,58%,892,78%,КОИБ,c2,yes,"20, 35"
5 Всеволожская,213,58%,1265,79%,КОИБ,c1,,"20, 38"
5 Всеволожская,213,58%,1265,79%,КОИБ,c2,yes,"21, 38"
5 Всеволожская,221,58%,1456,72%,,c1,yes,"21, 42"
5 Всеволожская,221,58%,1456,72%,,c2,yes,"21, 45"
6 Выборгская,246,58%,1007,72%,,c1,yes,"20, 44"
6 Выборгская,246,58%,1007,72%,,c2,yes,
6 Выборгская,312,58%,557,81%,,c1,yes,"21, 40"
6 Выборгская,312,58%,557,81%,,c2,,"19, 45"
6 Выборгская,320,58%,1023,82%,,c1,yes,"26, 46"
6 Выборгская,320,58%,1023,82%,,c2,,"19, 39"
7 Гатчинская,381,57%,1031,74%,,c1,yes,45
7 Гатчинская,381,57%,1031,74%,,c2,yes,"20, 47"
7 Гатчинская,406,57%,769,82%,,c1,yes,
7 Гатчинская,406,57%,769,82%,,c2,yes,
13 Кировская,551,57%,1086,80%,КОИБ,c1,yes,"22, 45"
13 Кировская,551,57%,1086,80%,КОИБ,c2,yes,"22, 36"
17 Лужская,684,57%,603,78%,,c1,yes,"23, 37"
17 Лужская,684,57%,603,78%,,c2,yes,"22, 41"
24 Сланцевская,804,57%,725,79%,,c1,yes,"19, 37"
24 Сланцевская,804,57%,725,79%,,c2,,"19, 40"
27 Тосненская,889,57%,494,80%,,c1,yes,"19, 44"
27 Тосненская,889,57%,494,80%,,c2,yes,"19, 44"
27 Тосненская,907,57%,867,79%,КОИБ,c1,yes,"20, 40"
27 Тосненская,907,57%,867,79%,КОИБ,c2,yes,"20, 42"
5 Всеволожская,954,57%,1449,65%,,c1,yes,
5 Всеволожская,954,57%,1449,65%,,c2,yes,
6 Выборгская,245,57%,672,74%,,c1,yes,"21, 45"
6 Выборгская,245,57%,672,74%,,c2,,"20, 44"
6 Выборгская,319,57%,1210,78%,,c1,,"2, 42"
6 Выборгская,319,57%,1210,78%,,c2,,"21, 40"
7 Гатчинская,391,56%,1100,78%,,c1,yes,38
7 Гатчинская,391,56%,1100,78%,,c2,yes,"21, 36"
17 Лужская,671,56%,736,80%,,c1,yes,"5, 36"
17 Лужская,671,56%,736,80%,,c2,yes,"10, 35"
20 Подпорожская,735,56%,541,78%,,c1,,"26, 36"
20 Подпорожская,735,56%,541,78%,,c2,yes,"7, 35"
27 Тосненская,867,56%,1212,79%,КОИБ,c1,,"20, 35"
27 Тосненская,867,56%,1212,79%,КОИБ,c2,yes,"20, 35"
27 Тосненская,881,56%,1253,77%,,c1,yes,"5, 42"
27 Тосненская,881,56%,1253,77%,,c2,yes,
27 Тосненская,915,56%,565,79%,КОИБ,c1,yes,"23, 35"
27 Тосненская,915,56%,565,79%,КОИБ,c2,yes,"21, 36"
27 Тосненская,918,56%,777,82%,КОИБ,c1,yes,"22, 36"
27 Тосненская,918,56%,777,82%,КОИБ,c2,yes,"22, 52"
3 Волховская,72,56%,1289,79%,,c1,,"19, 38"
3 Волховская,72,56%,1289,79%,,c2,,"22, 35"
5 Всеволожская,193,56%,737,79%,,c1,,"19, 36"
5 Всеволожская,193,56%,737,79%,,c2,,"20, 40"
5 Всеволожская,211,56%,1226,78%,КОИБ,c1,,"17, 43"
5 Всеволожская,211,56%,1226,78%,КОИБ,c2,yes,"22, 35"
6 Выборгская,240,56%,1046,71%,,c1,yes,"16, 38"
6 Выборгская,240,56%,1046,71%,,c2,,"19, 43"
17 Лужская,668,55%,847,80%,,c1,,"21, 42"
17 Лужская,668,55%,847,80%,,c2,yes,"22, 46"
20 Подпорожская,734,55%,529,84%,,c1,yes,"21, 35"
20 Подпорожская,734,55%,529,84%,,c2,yes,36
24 Сланцевская,810,55%,554,72%,,c1,yes,"20, 44"
24 Сланцевская,810,55%,554,72%,,c2,yes,"20, 44"
27 Тосненская,890,55%,567,84%,,c1,yes,"20, 40"
27 Тосненская,890,55%,567,84%,,c2,,"22, 36"
3 Волховская,85,55%,779,77%,,c1,yes,"23, 45"
3 Волховская,85,55%,779,77%,,c2,yes,"21, 36"
5 Всеволожская,209,55%,1478,78%,КОИБ,c1,,"19, 46"
5 Всеволожская,209,55%,1478,78%,КОИБ,c2,yes,"20, 39"
5 Всеволожская,215,55%,1291,78%,КОИБ,c1,,
5 Всеволожская,215,55%,1291,78%,КОИБ,c2,yes,"10, 36"
5 Всеволожская,223,55%,1130,79%,,c1,yes,"21, 36"
5 Всеволожская,223,55%,1130,79%,,c2,yes,"19, 35"
5 Всеволожская,232,55%,799,80%,,c1,yes,"20, 36"
5 Всеволожская,232,55%,799,80%,,c2,yes,"22, 38"
6 Выборгская,235,55%,1379,77%,,c1,yes,"20, 47"
6 Выборгская,235,55%,1379,77%,,c2,,"21, 47"
13 Кировская,586,54%,562,83%,,c1,yes,"21, 42"
13 Кировская,586,54%,562,83%,,c2,yes,"20, 45"
17 Лужская,667,54%,509,77%,,c1,,"7, 36"
17 Лужская,667,54%,509,77%,,c2,yes,"2, 37"
27 Тосненская,892,54%,633,80%,,c1,yes,"7, 35"
27 Тосненская,892,54%,633,80%,,c2,yes,"6, 39"
27 Тосненская,919,54%,644,75%,КОИБ,c1,yes,"16, 38"
27 Тосненская,919,54%,644,75%,КОИБ,c2,yes,"21, 45"
3 Волховская,81,54%,676,76%,,c1,yes,"20, 47"
3 Волховская,81,54%,676,76%,,c2,,"23, 41"
3 Волховская,82,54%,693,79%,,c1,,"22, 49"
3 Волховская,82,54%,693,79%,,c2,yes,"22, 46"
5 Всеволожская,180,54%,712,83%,КОИБ,c1,yes,"20, 44"
5 Всеволожская,180,54%,712,83%,КОИБ,c2,yes,"24, 46"
6 Выборгская,237,54%,902,72%,,c1,yes,"19, 41"
6 Выборгская,237,54%,902,72%,,c2,yes,"21, 40"
17 Лужская,686,53%,763,79%,,c1,yes,"7, 40"
17 Лужская,686,53%,763,79%,,c2,,"8, 41"
24 Сланцевская,805,53%,660,75%,,c1,yes,37
24 Сланцевская,805,53%,660,75%,,c2,yes,"5, 42"
24 Сланцевская,811,53%,695,75%,,c1,yes,"21, 36"
24 Сланцевская,811,53%,695,75%,,c2,yes,"20, 45"
3 Волховская,64,53%,1219,78%,,c1,,"22, 45"
3 Волховская,64,53%,1219,78%,,c2,,
6 Выборгская,288,53%,836,81%,,c1,,"19, 40"
6 Выборгская,288,53%,836,81%,,c2,,"24, 36"
24 Сланцевская,795,52%,647,76%,,c1,,"21, 40"
24 Сланцевская,795,52%,647,76%,,c2,yes,"20, 45"
27 Тосненская,885,52%,437,83%,КОИБ,c1,yes,
27 Тосненская,885,52%,437,83%,КОИБ,c2,yes,"4, 47"
5 Всеволожская,224,52%,784,71%,,c1,yes,"19, 44"
5 Всеволожская,224,52%,784,71%,,c2,yes,"23, 39"
6 Выборгская,276,52%,589,78%,,c1,,"20, 37"
6 Выборгская,276,52%,589,78%,,c2,yes,"20, 39"
26 Тихвинская,849,51%,333,77%,,c1,yes,"19, 43"
26 Тихвинская,849,51%,333,77%,,c2,yes,"21, 44"
27 Тосненская,913,51%,498,80%,,c1,yes,"19, 36"
27 Тосненская,913,51%,498,80%,,c2,yes,"8, 36"
24 Сланцевская,813,50%,609,80%,,c1,yes,"18, 35"
24 Сланцевская,813,50%,609,80%,,c2,yes,
5 Всеволожская,192,50%,820,79%,,c1,,41
5 Всеволожская,192,50%,820,79%,,c2,,"5, 35"
5 Всеволожская,208,50%,1204,78%,КОИБ,c1,,"7, 36"
5 Всеволожская,208,50%,1204,78%,КОИБ,c2,yes,"6, 36"
6 Выборгская,257,50%,619,74%,,c1,yes,"22, 35"
6 Выборгская,257,50%,619,74%,,c2,,"19, 43"
6 Выборгская,302,50%,512,83%,,c1,yes,"20, 40"
6 Выборгская,302,50%,512,83%,,c2,yes,"19, 41"
24 Сланцевская,809,48%,542,75%,,c1,,"28, 52"
24 Сланцевская,809,48%,542,75%,,c2,yes,
24 Сланцевская,812,48%,581,79%,,c1,,"21, 36"
24 Сланцевская,812,48%,581,79%,,c2,yes,
5 Всеволожская,222,48%,1061,75%,,c1,yes,
5 Всеволожская,222,48%,1061,75%,,c2,yes,
27 Тосненская,916,46%,670,79%,,c1,yes,"4, 36"
27 Тосненская,916,46%,670,79%,,c2,yes,"19, 36"
27 Тосненская,914,42%,406,79%,КОИБ,c1,yes,
27 Тосненская,914,42%,406,79%,КОИБ,c2,yes,"14, 36"
