tik,uik,turnout,stationary,putin,koib,cam,marked,gaps
25 Сосновоборская городская,931,66%,1518,76%,КОИБ,c1,yes,"8, 11, 8, 41, 8, 8, 8, 8, 8, 10, 74, 9, 8, 235, 5236, 40"
25 Сосновоборская городская,931,66%,1518,76%,КОИБ,c2,yes,"8, 8, 8, 79, 8, 8, 11, 8, 8, 8, 76, 9, 9, 202, 5182, 36"
16 Ломоносовская,662,65%,1148,79%,,c1,yes,"8, 9, 8, 8, 8, 8, 39"
16 Ломоносовская,662,65%,1148,79%,,c2,yes,"8, 8, 8, 8, 12, 11, 8, 8, 9, 36"
7 Гатчинская,376,64%,1373,76%,,c1,,"19, 3, 44"
7 Гатчинская,376,64%,1373,76%,,c2,yes,"2, 45"
12 Киришская,531,64%,1175,76%,КОИБ,c1,yes,"20, 20, 38"
12 Киришская,531,64%,1175,76%,КОИБ,c2,yes,"19, 6"
3 Волховская,110,64%,686,70%,,c1,,"21, 47"
3 Волховская,110,64%,686,70%,,c2,yes,"21, 45, 35"
3 Волховская,65,64%,1211,77%,,c1,yes,"21, 143, 137, 119, 140, 91, 96, 125, 87"
3 Волховская,65,64%,1211,77%,,c2,,"22, 121, 130, 128, 89, 95, 120, 102, 96"
3 Волховская,75,64%,801,80%,,c1,yes,19
3 Волховская,75,64%,801,80%,,c2,yes,"2, 35"
6 Выборгская,258,64%,990,79%,,c1,yes,"9, 9, 8, 57, 8, 8, 10, 10, 8, 18, 8, 8, 8, 9, 8, 8, 9, 8, 9, 8, 9, 8, 8, 8, 8, 8, 10, 8, 56, 9, 8, 8, 9, 9, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 9, 8"
6 Выборгская,258,64%,990,79%,,c2,yes,"9, 16, 8, 47, 8, 9, 32, 8, 8, 8, 10, 8, 25, 8, 9, 8, 9, 8, 8, 8, 8, 13, 9, 9, 10, 8, 8, 8, 62, 8, 8, 8, 8, 9, 8, 8, 8, 8, 8, 8, 8, 9, 9, 9, 12, 8, 8, 8"
12 Киришская,530,63%,1223,77%,КОИБ,c1,yes,"20, 54"
12 Киришская,530,63%,1223,77%,КОИБ,c2,yes,"20, 19, 6, 45"
15 Лодейнопольская,594,63%,941,79%,,c1,yes,"21, 40"
15 Лодейнопольская,594,63%,941,79%,,c2,yes,"20, 11, 42"
17 Лужская,676,63%,877,80%,,c1,,"8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 9, 8, 13, 8, 8, 8, 8, 8, 8, 8, 8, 9, 8, 8, 8, 47, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8"
17 Лужская,676,63%,877,80%,,c2,yes,"8, 8, 8, 16, 8, 8, 8, 8, 8, 15, 8, 8, 8, 9, 8, 8, 8, 9, 10, 8, 8, 8, 8, 8, 8, 8, 8, 8, 50, 8, 8, 8, 8, 8, 9, 8, 8, 8, 8, 8, 8, 8, 8, 8"
27 Тосненская,873,63%,560,74%,КОИБ,c1,yes,"23, 37, 2"
27 Тосненская,873,63%,560,74%,КОИБ,c2,yes,"20, 36"
3 Волховская,78,63%,1142,77%,,c1,,2
3 Волховская,78,63%,1142,77%,,c2,yes,
5 Всеволожская,120,63%,1488,78%,,c1,yes,275
5 Всеволожская,120,63%,1488,78%,,c2,yes,"8, 283"
5 Всеволожская,128,63%,929,81%,,c1,yes,4
5 Всеволожская,128,63%,929,81%,,c2,yes,2
7 Гатчинская,402,62%,807,83%,,c1,yes,"21, 39, 43"
7 Гатчинская,402,62%,807,83%,,c2,,"21, 44, 47"
13 Кировская,553,62%,1461,79%,КОИБ,c1,yes,106
13 Кировская,553,62%,1461,79%,КОИБ,c2,yes,123
15 Лодейнопольская,597,62%,1278,79%,,c1,yes,"136, 59, 69, 53, 57"
15 Лодейнопольская,597,62%,1278,79%,,c2,yes,"135, 58, 55, 61, 53"
3 Волховская,98,62%,571,80%,,c1,yes,"20, 45"
3 Волховская,98,62%,571,80%,,c2,yes,"3, 20, 40"
7 Гатчинская,441,61%,580,79%,,c1,yes,"21, 42, 28, 46"
7 Гатчинская,441,61%,580,79%,,c2,,"19, 16, 39, 49"
12 Киришская,534,61%,1358,74%,КОИБ,c1,yes,"6, 36"
12 Киришская,534,61%,1358,74%,КОИБ,c2,yes,"10, 43, 3"
5 Всеволожская,124,61%,1403,81%,,c1,yes,19
5 Всеволожская,124,61%,1403,81%,,c2,yes,2
5 Всеволожская,210,61%,1290,79%,КОИБ,c1,,"21, 37, 41, 43"
5 Всеволожская,210,61%,1290,79%,КОИБ,c2,yes,"20, 36, 101, 45"
6 Выборгская,259,61%,851,74%,,c1,yes,"3, 45"
6 Выборгская,259,61%,851,74%,,c2,yes,"20, 38"
13 Кировская,552,60%,1237,80%,КОИБ,c1,yes,"20, 51, 44"
13 Кировская,552,60%,1237,80%,КОИБ,c2,yes,"22, 3, 50, 37"
13 Кировская,572,60%,1603,78%,,c1,,"21, 46, 68"
13 Кировская,572,60%,1603,78%,,c2,yes,"47, 63"
24 Сланцевская,796,60%,764,79%,,c1,yes,"19, 43"
24 Сланцевская,796,60%,764,79%,,c2,yes,"22, 2, 35"
5 Всеволожская,123,60%,1265,79%,,c1,yes,21
5 Всеволожская,123,60%,1265,79%,,c2,yes,20
6 Выборгская,349,60%,973,79%,,c1,,48
6 Выборгская,349,60%,973,79%,,c2,,"33, 29, 26, 52, 27, 26, 27, 23, 38, 23, 22, 70, 45, 35, 31, 30, 26, 22, 25, 28, 31, 19, 36, 22, 85, 29, 22, 35, 51, 21, 35, 26"
27 Тосненская,872,59%,1134,77%,КОИБ,c1,yes,"13, 4, 39"
27 Тосненская,872,59%,1134,77%,КОИБ,c2,yes,"21, 35"
21 Приозерская,772,58%,608,80%,,c1,yes,"19, 43"
21 Приозерская,772,58%,608,80%,,c2,,"21, 41, 4"
24 Сланцевская,801,58%,749,75%,,c1,,"21, 41, 2"
24 Сланцевская,801,58%,749,75%,,c2,yes,"2, 822"
25 Сосновоборская городская,933,58%,1226,73%,КОИБ,c1,,"20, 295, 45"
25 Сосновоборская городская,933,58%,1226,73%,КОИБ,c2,yes,"22, 272, 42"
16 Ломоносовская,661,57%,1127,85%,,c1,yes,"8, 21, 8, 20, 8, 11, 8, 13, 9, 8, 21, 8, 12, 8, 8, 11, 37, 8"
16 Ломоносовская,661,57%,1127,85%,,c2,yes,"8, 5, 8, 8, 8, 8, 13, 8, 8, 8, 15, 8, 9, 8, 8, 8, 36"
17 Лужская,678,57%,794,75%,,c1,yes,
17 Лужская,678,57%,794,75%,,c2,yes,"119, 51, 22, 54, 54, 58, 56, 50, 91, 67, 104, 60, 3, 58, 40, 168, 50, 82, 123, 65, 59"
20 Подпорожская,737,57%,497,80%,,c1,,"20, 44, 3"
20 Подпорожская,737,57%,497,80%,,c2,yes,"19, 38"
27 Тосненская,891,57%,908,80%,,c1,,"38, 3"
27 Тосненская,891,57%,908,80%,,c2,yes,"6, 46"
3 Волховская,66,57%,1068,75%,,c1,yes,"56, 206, 225, 90, 61, 48, 107, 64, 86, 162, 447, 983, 884, 58, 61, 64, 40"
3 Волховская,66,57%,1068,75%,,c2,yes,"60, 193, 141, 99, 67, 48, 93, 56, 88, 188, 425, 584, 891, 52, 57, 64, 39"
5 Всеволожская,231,57%,1301,76%,,c1,yes,"21, 77, 44"
5 Всеволожская,231,57%,1301,76%,,c2,yes,"23, 36"
