tik,uik,voters,turnout,putin,stationary,cam,marked,gaps
TIK-5,1440,1012,53%,41%,982,c2,yes,
TIK-5,1449,1131,53%,40%,1103,c1,yes,
TIK-5,1449,1131,53%,40%,1103,c2,yes,
TIK-5,1477,1861,53%,37%,1847,c1,yes,
TIK-5,1477,1861,53%,37%,1847,c2,yes,
TIK-6,1063,979,53%,41%,950,c1,yes,
TIK-6,1063,979,53%,41%,950,c2,,
TIK-6,1097,990,53%,40%,947,c1,yes,
TIK-6,1097,990,53%,40%,947,c2,yes,
TIK-7,642,1410,53%,40%,1390,c1,,
TIK-7,642,1410,53%,40%,1390,c2,yes,
TIK-10,219,1141,53%,41%,1106,c1,yes,
TIK-10,219,1141,53%,41%,1106,c2,yes,
TIK-12,1764,1455,53%,42%,1426,c1,yes,
TIK-12,1764,1455,53%,42%,1426,c2,,
TIK-12,1774,1241,53%,37%,1229,c1,yes,
TIK-12,1774,1241,53%,37%,1229,c2,yes,
TIK-16,2208,953,53%,34%,928,c1,yes,
TIK-16,2208,953,53%,34%,928,c2,yes,
TIK-16,2209,1133,53%,34%,1098,c1,yes,
TIK-16,2209,1133,53%,34%,1098,c2,yes,
TIK-16,2211,858,53%,37%,826,c1,,
TIK-16,2211,858,53%,37%,826,c2,yes,
TIK-18,1624,1001,53%,40%,972,c1,,
TIK-18,1624,1001,53%,40%,972,c2,yes,
TIK-19,1284,1149,53%,38%,1128,c1,yes,
TIK-19,1284,1149,53%,38%,1128,c2,yes,
TIK-19,1285,886,53%,38%,875,c1,yes,
TIK-19,1285,886,53%,38%,875,c2,yes,
TIK-19,1334,564,53%,36%,552,c1,yes,
TIK-19,1334,564,53%,36%,552,c2,yes,
TIK-21,837,1272,53%,44%,1245,c1,yes,
TIK-21,837,1272,53%,44%,1245,c2,yes,
TIK-21,874,1313,53%,42%,1298,c1,yes,
TIK-21,874,1313,53%,42%,1298,c2,yes,
TIK-21,884,1033,53%,41%,1007,c1,yes,
TIK-21,884,1033,53%,41%,1007,c2,yes,
TIK-23,2087,1511,53%,39%,1443,c1,yes,
TIK-23,2087,1511,53%,39%,1443,c2,yes,
TIK-24,1553,997,53%,37%,975,c1,,
TIK-24,1553,997,53%,37%,975,c2,,
TIK-26,1211,809,53%,39%,789,c1,yes,
TIK-26,1211,809,53%,39%,789,c2,yes,
TIK-30,2253,1093,53%,38%,1014,c1,yes,
TIK-30,2253,1093,53%,38%,1014,c2,yes,
TIK-2,146,774,52%,40%,768,c1,yes,
TIK-2,146,774,52%,40%,768,c2,yes,
TIK-3,623,1130,52%,39%,1105,c1,yes,
TIK-3,623,1130,52%,39%,1105,c2,yes,
TIK-5,1447,1146,52%,39%,1104,c1,yes,
TIK-5,1447,1146,52%,39%,1104,c2,yes,
TIK-6,1123,1216,52%,40%,1189,c1,yes,
TIK-6,1123,1216,52%,40%,1189,c2,yes,
TIK-6,1128,1306,52%,39%,1282,c1,yes,
TIK-6,1128,1306,52%,39%,1282,c2,yes,
TIK-16,2205,1147,52%,36%,1088,c1,,
TIK-16,2205,1147,52%,36%,1088,c2,yes,
TIK-18,1621,1002,52%,42%,979,c1,yes,
TIK-18,1621,1002,52%,42%,979,c2,yes,
TIK-19,1328,944,52%,35%,911,c1,yes,
TIK-19,1328,944,52%,35%,911,c2,yes,
TIK-21,872,915,52%,40%,902,c1,yes,
TIK-21,872,915,52%,40%,902,c2,yes,
TIK-21,875,1111,52%,41%,1098,c1,yes,
TIK-21,875,1111,52%,41%,1098,c2,yes,
TIK-24,1584,1051,52%,40%,1036,c1,yes,
TIK-24,1584,1051,52%,40%,1036,c2,yes,
TIK-24,1585,978,52%,38%,969,c1,,
TIK-24,1585,978,52%,38%,969,c2,yes,
TIK-30,2254,967,52%,33%,950,c1,yes,
TIK-30,2254,967,52%,33%,950,c2,yes,
TIK-2,118,995,51%,36%,976,c1,,
TIK-2,118,995,51%,36%,976,c2,,
TIK-2,147,1041,51%,37%,1022,c1,yes,
TIK-2,147,1041,51%,37%,1022,c2,,
TIK-23,2040,940,51%,38%,920,c1,yes,
TIK-23,2040,940,51%,38%,920,c2,,
TIK-26,1214,989,51%,41%,958,c1,yes,
TIK-26,1214,989,51%,41%,958,c2,yes,
TIK-1,59,1029,50%,38%,1013,c1,,
TIK-1,59,1029,50%,38%,1013,c2,,
TIK-2,130,1065,50%,36%,1030,c1,yes,
TIK-2,130,1065,50%,36%,1030,c2,yes,
TIK-5,1424,852,50%,40%,826,c1,yes,
TIK-5,1424,852,50%,40%,826,c2,yes,
TIK-11,500,1328,50%,37%,1305,c1,,
TIK-11,500,1328,50%,37%,1305,c2,yes,
TIK-16,2184,1141,50%,35%,1106,c1,,
TIK-16,2184,1141,50%,35%,1106,c2,yes,
TIK-12,1786,930,49%,37%,917,c1,yes,
TIK-12,1786,930,49%,37%,917,c2,yes,
TIK-16,2219,1043,49%,35%,1022,c1,,
TIK-16,2219,1043,49%,35%,1022,c2,yes,
TIK-26,1180,954,49%,38%,901,c1,yes,
TIK-26,1180,954,49%,38%,901,c2,,
TIK-16,2212,649,48%,34%,640,c1,yes,
TIK-16,2212,649,48%,34%,640,c2,yes,
TIK-26,1215,936,48%,37%,916,c1,,
TIK-26,1215,936,48%,37%,916,c2,yes,
TIK-29,2176,928,48%,34%,916,c1,yes,
TIK-29,2176,928,48%,34%,916,c2,yes,
TIK-16,2222,785,45%,32%,761,c1,yes,
TIK-16,2222,785,45%,32%,761,c2,yes,
TIK-19,1280,983,45%,32%,969,c1,yes,
TIK-19,1280,983,45%,32%,969,c2,yes,
TIK-20,2019,915,44%,35%,790,c1,yes,
TIK-20,2019,915,44%,35%,790,c2,yes,
